OBJECTID,FEATURE_TYPE,INDUSTRY_ID,STATION_NAME,STATION_OWNER,STATION_DESCRIPTION,STATION_ADDRESS,STATION_SUBURB,STATION_POSTCODE,STATION_STATE,OPERATIONAL_STATUS,SPATIAL_CONFIDENCE,GNAF_ASSIGNMENT_METHOD,STATION_REVISED_DATE,GNAF_FORMATTED_ADDRESS,GNAF_ADDRESS_DETAIL_PID,GNAF_CONFIDENCE,GNAF_SUBURB,GNAF_POSTCODE,DISTANCE_TO_GNAF
1,PETROL STATION,,7-ELEVEN BRABHAM,7-ELEVEN,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,3 MARVEL ENTRANCE,BRABHAM,6055,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,22/02/2022,3 MARVEL ENTRANCE,GAWA_720891476,1,BRABHAM,6055,58
2,PETROL STATION,,DERBY TYRE & EXHAUST,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,46 CLARENDON STREET,DERBY,6728,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,46 CLARENDON STREET,GAWA_146991646,1,DERBY,6728,0
3,PETROL STATION,,UNITED BIBRA LAKE,UNITED,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,13 WHYALLA COURT,BIBRA LAKE,6163,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,13 WHYALLA COURT,GAWA_147227521,1,BIBRA LAKE,6163,19.8
4,PETROL STATION,,COLES EXPRESS BUTLER,COLES EXPRESS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,61 BUTLER BOULEVARD,BUTLER,6036,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,61 BUTLER BOULEVARD,GAWA_718869947,1,BUTLER,6036,6.9
5,PETROL STATION,,BP BEELIAR,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,701 BEELIAR DRIVE,COCKBURN CENTRAL,6164,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,701 BEELIAR DRIVE,GAWA_718295488,1,COCKBURN CENTRAL,6164,13.6
6,PETROL STATION,,COLES EXPRESS MOSMAN PARK,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,582 STIRLING HIGHWAY,MOSMAN PARK,6012,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,582 STIRLING HIGHWAY,GAWA_146709586,1,MOSMAN PARK,6012,19.3
7,PETROL STATION,,TOMEO'S SERVICE STATION,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1287 BROOKTON HIGHWAY,KARRAGULLEN,6111,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,1287 BROOKTON HIGHWAY,GAWA_146714023,2,KARRAGULLEN,6111,33.5
8,PETROL STATION,,GLEN FORREST FUEL,INDEPENDENT,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,20 GREAT EASTERN HIGHWAY,GLEN FORREST,6071,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,20 GREAT EASTERN HIGHWAY,GAWA_146714039,2,GLEN FORREST,6071,9.4
9,PETROL STATION,,CALTEX WOOLWORTHS KINGSLEY,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,86 KINGSLEY DRIVE,KINGSLEY,6026,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,86 KINGSLEY DRIVE,GAWA_146869101,1,KINGSLEY,6026,0.7
10,PETROL STATION,,SHELL WONTHELLA,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,115 NORTH WEST COASTAL HIGHWAY,WONTHELLA,6530,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,115 NORTH WEST COASTAL HIGHWAY,GAWA_149155814,1,WONTHELLA,6530,1.2
11,PETROL STATION,,CALTEX SEVILLE GROVE,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,537 LAKE ROAD,SEVILLE GROVE,6112,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,537 LAKE ROAD,GAWA_147370177,1,SEVILLE GROVE,6112,0.9
12,PETROL STATION,,COLES EXPRESS WARWICK,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,274 ERINDALE ROAD,WARWICK,6024,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,274 ERINDALE ROAD,GAWA_146566669,1,WARWICK,6024,1.5
13,PETROL STATION,6669,BP BUNBURY SHOP FRONT,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,2 WETHERLY DRIVE,PICTON,6229,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,2 WETHERLY DRIVE,GAWA_163343713,0,PICTON,6229,51.6
14,PETROL STATION,,HILLS EMPORIO,INDEPENDENT,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1615 CANNING ROAD,KARRAGULLEN,6111,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,1615 CANNING ROAD,GAWA_146709988,1,KARRAGULLEN,6111,2.4
15,PETROL STATION,6172,BP CONNECT ROCKINGHAM PARK,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,2 CHALGROVE AVENUE,ROCKINGHAM,6168,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,2 CHALGROVE AVENUE,GAWA_146840742,0,ROCKINGHAM,6168,0.2
16,PETROL STATION,5837,BODDINGTON ,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,38 BANNISTER ROAD,BODDINGTON,6390,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,38 BANNISTER ROAD,GAWA_160792538,2,BODDINGTON,6390,14.2
17,PETROL STATION,,VICTORIA PARK,UNITED,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,916 ALBANY HIGHWAY,VICTORIA PARK,6101,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,916 ALBANY HIGHWAY,GAWA_147692175,1,EAST VICTORIA PARK,6101,5.9
18,PETROL STATION,,BP NAVAL BASE,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1351 ROCKINGHAM ROAD,NAVAL BASE,6165,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,1351 ROCKINGHAM ROAD,GAWA_147256206,1,NAVAL BASE,6165,30.7
19,PETROL STATION,55447,CALTEX GERALDTON,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,120 FLORES ROAD,WEBBERTON,6530,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,120 FLORES ROAD,GAWA_147217573,1,WEBBERTON,6530,48.7
20,PETROL STATION,,7-ELEVEN WANGARA,7-ELEVEN,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,79 GNANGARA ROAD,WANGARA,6065,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,79 GNANGARA ROAD,GAWA_147389464,1,WANGARA,6065,41.3
21,PETROL STATION,,VIBE UPPER SWAN IGA XPRESS,VIBE,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1447 GREAT NORTHERN HIGHWAY,UPPER SWAN,6069,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,22/02/2022,1447 GREAT NORTHERN HIGHWAY,GAWA_163047922,2,UPPER SWAN,6069,28.3
22,PETROL STATION,,7-ELEVEN COCKBURN CENTRAL,7-ELEVEN,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,814 NORTH LAKE ROAD,COCKBURN CENTRAL,6164,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,814 NORTH LAKE ROAD,GAWA_718878124,1,COCKBURN CENTRAL,6164,19.1
23,PETROL STATION,,WOOLWORTHS CALTEX GERALDTON,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,59 CATHEDRAL AVENUE,GERALDTON,6530,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,59 CATHEDRAL AVENUE,GAWA_146998012,1,GERALDTON,6530,0.3
24,PETROL STATION,,CALTEX WOOLWORTHS AVELEY,CALTEX WOOLWORTHS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,317 MILLHOUSE ROAD,AVELEY,6069,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,22/02/2022,317 MILLHOUSE ROAD,GAWA_719365410,1,AVELEY,6069,9.7
25,PETROL STATION,,AMPOL KARRIDALE,AMPOL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,12440 BUSSELL HIGHWAY,KARRIDALE,6288,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,12440 BUSSELL HIGHWAY,GAWA_162682879,2,KARRIDALE,6288,1.7
26,PETROL STATION,2498,BP KEWDALE TRUCKSTOP,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,554 ABERNETHY ROAD,KEWDALE,6105,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,554 ABERNETHY ROAD,GAWA_146910692,0,KEWDALE,6105,86.4
27,PETROL STATION,,VIBE MORLEY,VIBE,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,430 MORLEY DRIVE,MORLEY,6062,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,430 MORLEY DRIVE,GAWA_146597657,2,MORLEY,6062,2.9
28,PETROL STATION,,PUMA HAMILTON HILL,PUMA,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,224 CLONTARF ROAD,HAMILTON HILL,6163,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,22/02/2022,224 CLONTARF ROAD,GAWA_146769121,2,HAMILTON HILL,6163,14
29,PETROL STATION,,CALTEX GERALDTON,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,50 RIFLE RANGE ROAD,RANGEWAY,6530,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,50 RIFLE RANGE ROAD,GAWA_147048526,1,RANGEWAY,6530,0.7
30,PETROL STATION,,INDEPENDENT HOPETOUN,INDEPENDENT FUEL SUPPLIES,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,97 VEAL STREET,HOPETOUN,6348,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,25/07/2011,97 VEAL STREET,GAWA_160805596,1,HOPETOUN,6348,1.5
31,PETROL STATION,,COLES EXPRESS CASUARINA,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1 JOHNSON ROAD,BERTRAM,6167,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,1 JOHNSON ROAD,GAWA_147272853,1,BERTRAM,6167,2.2
32,PETROL STATION,,WOOLWORTHS CALTEX BUSSELTON,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,36 DUCHESS STREET,BUSSELTON,6280,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,36 DUCHESS STREET,GAWA_146962858,2,BUSSELTON,6280,2
33,PETROL STATION,,ATLAS FUEL KWINANA,ATLAS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1 MANDURAH ROAD,KWINANA BEACH,6167,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,1 MANDURAH ROAD,GAWA_146785888,1,KWINANA BEACH,6167,28.2
34,PETROL STATION,,CALTEX WOOLWORTHS RIVERTON,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,268 HIGH ROAD,RIVERTON,6148,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,268 HIGH ROAD,GAWA_146791525,0,RIVERTON,6148,0.5
35,PETROL STATION,,UNITED HAMILTON HILL,UNITED,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,9 WINTERFOLD ROAD,HAMILTON HILL,6163,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,9 WINTERFOLD ROAD,GAWA_147132113,1,HAMILTON HILL,6163,17.5
36,PETROL STATION,,7-ELEVEN ROCKINGHAM,7-ELEVEN,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,129 DIXON ROAD,EAST ROCKINGHAM,6168,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,22/02/2022,129 DIXON ROAD,GAWA_162980754,1,EAST ROCKINGHAM,6168,26
37,PETROL STATION,,PUMA COMO,PUMA,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,393 CANNING HIGHWAY,COMO,6152,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,22/02/2022,393 CANNING HIGHWAY,GAWA_146739881,1,COMO,6152,5.8
38,PETROL STATION,,INDEPENDENT MINGENEW,INDEPENDENT FUEL SUPPLIES,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,46 MIDLANDS ROAD,MINGENEW,6522,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,46 MIDLANDS ROAD,GAWA_161905282,2,MINGENEW,6522,0.2
39,PETROL STATION,,AMPOL MARBLE BAR,AMPOL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,40 HALSE ROAD,MARBLE BAR,6760,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,40 HALSE ROAD,GAWA_147053914,2,MARBLE BAR,6760,36
40,PETROL STATION,,INDEPENDENT LEONORA,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,52 TOWER STREET,LEONORA,6438,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,52 TOWER STREET,GAWA_147059954,1,LEONORA,6438,10.3
41,PETROL STATION,,CALTEX GERALDTON,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,295 MARINE TERRACE,GERALDTON,6530,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,295 MARINE TERRACE,GAWA_146992704,1,GERALDTON,6530,0.8
42,PETROL STATION,,CALTEX WOOLWORTHS MADDINGTON WEST,CALTEX WOOLWORTHS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,207 BURSLEM DRIVE,MADDINGTON,6109,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,207 BURSLEM DRIVE,GAWA_146811072,1,MADDINGTON,6109,7.1
43,PETROL STATION,,PUMA MINDARIE,PUMA,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,22 ANCHORAGE DRIVE,MINDARIE,6030,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,22 ANCHORAGE DRIVE,GAWA_147173205,1,MINDARIE,6030,6.5
44,PETROL STATION,,PUMA HAMILTON HILL SOUTH,PUMA,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,216 ROCKINGHAM ROAD,HAMILTON HILL,6163,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,22/02/2022,216 ROCKINGHAM ROAD,GAWA_147283061,1,HAMILTON HILL,6163,5.6
45,PETROL STATION,,CALTEX PERTH,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,141 WELLINGTON STREET,EAST PERTH,6004,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,141 WELLINGTON STREET,GAWA_146657494,1,EAST PERTH,6004,1.2
46,PETROL STATION,,COLES EXPRESS SINGLETON,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,2514 MANDURAH ROAD,SINGLETON,6175,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,2514 MANDURAH ROAD,GAWA_162266180,1,SINGLETON,6175,22.9
47,PETROL STATION,6186,BP CONNECT RIVERTON,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,339 HIGH ROAD,PARKWOOD,6147,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,339 HIGH ROAD,GAWA_146814109,1,PARKWOOD,6147,4.9
48,PETROL STATION,,VIBE WELSHPOOL,VIBE,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,124 WELSHPOOL ROAD,WELSHPOOL,6106,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,124 WELSHPOOL ROAD,GAWA_148194362,1,WELSHPOOL,6106,14.2
49,PETROL STATION,,CALTEX WOOLWORTHS CLARKSON,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,7 OCEAN KEYS BOULEVARD,CLARKSON,6030,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,7 OCEAN KEYS BOULEVARD,GAWA_147207603,1,CLARKSON,6030,1.4
50,PETROL STATION,,CALTEX KEWDALE,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,2 FENTON STREET,KEWDALE,6105,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,2 FENTON STREET,GAWA_146679573,1,KEWDALE,6105,1.1
51,PETROL STATION,,INDEPENDENT MOONYOONOOKA,INDEPENDENT FUEL SUPPLIES,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,753 GERALDTON-MOUNT MAGNET ROAD,MOONYOONOOKA,6532,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,753 GERALDTON-MOUNT MAGNET ROAD,GAWA_162244609,2,MOONYOONOOKA,6532,29
52,PETROL STATION,6350,BP DONGARA,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,30373 BRAND HIGHWAY,DONGARA,6525,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,30373 BRAND HIGHWAY,GAWA_161999914,2,DONGARA,6525,6.8
53,PETROL STATION,,AMPOL CAPEL,AMPOL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,84 CAPEL DRIVE,CAPEL,6271,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,84 CAPEL DRIVE,GAWA_146944096,2,CAPEL,6271,8.3
54,PETROL STATION,,BP JINDALEE,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,2 ABELLO BOULEVARD,JINDALEE,6036,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,2 ABELLO BOULEVARD,GAWA_720278215,0,JINDALEE,6036,22.4
55,PETROL STATION,,VIBE MT HELENA IGA XPRESS,VIBE,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,9 MCVICAR PLACE,MOUNT HELENA,6082,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,9 MCVICAR PLACE,GAWA_147149136,1,MOUNT HELENA,6082,31.8
56,PETROL STATION,,PUMA LESMURDIE,PUMA,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,194 CANNING ROAD,LESMURDIE,6076,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,194 CANNING ROAD,GAWA_146743339,1,LESMURDIE,6076,11.4
57,PETROL STATION,,CALTEX FURNISSDALE,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,868 PINJARRA ROAD,FURNISSDALE,6209,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,868 PINJARRA ROAD,GAWA_160929681,1,FURNISSDALE,6209,0
58,PETROL STATION,,MECKERING ROADHOUSE,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,31 DREYER STREET,MECKERING,6405,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,31 DREYER STREET,GAWA_149105497,1,MECKERING,6405,0.1
59,PETROL STATION,,7-ELEVEN THORNLIE,7-ELEVEN,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,125 MURDOCH ROAD,THORNLIE,6108,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,125 MURDOCH ROAD,GAWA_162578355,1,THORNLIE,6108,5.8
60,PETROL STATION,,WOOLWORTHS CALTEX KALGOORLIE,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,104 BROOKMAN STREET,KALGOORLIE,6430,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,104 BROOKMAN STREET,GAWA_147010406,1,KALGOORLIE,6430,12.6
61,PETROL STATION,,BP WELSHPOOL,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1 BALLANTYNE ROAD,KEWDALE,6105,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,1 BALLANTYNE ROAD,GAWA_146670607,1,KEWDALE,6105,10.3
62,PETROL STATION,,PUMA YOKINE,PUMA,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,398 HECTOR STREET,YOKINE,6060,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,22/02/2022,398 HECTOR STREET,GAWA_146649049,1,YOKINE,6060,14
63,PETROL STATION,,COLES EXPRESS CLOVERDALE,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,223 BELMONT AVENUE,CLOVERDALE,6105,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,223 BELMONT AVENUE,GAWA_146667778,1,CLOVERDALE,6105,0.3
64,PETROL STATION,,CALTEX BUSSELTON WEST,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,259 BUSSELL HIGHWAY,WEST BUSSELTON,6280,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,259 BUSSELL HIGHWAY,GAWA_146944580,2,WEST BUSSELTON,6280,1.2
65,PETROL STATION,6234,BP DOG SWAMP,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,4 WANNEROO ROAD,YOKINE,6060,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,4 WANNEROO ROAD,GAWA_161932452,1,YOKINE,6060,1.2
66,PETROL STATION,,X CONVENIENCE ALKIMOS,PUMA,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,58 MONTANA CRESCENT,ALKIMOS,6038,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,22/02/2022,58 MONTANA CRESCENT,GAWA_719966930,0,ALKIMOS,6038,20.5
67,PETROL STATION,,PUMA BEDFORDALE,PUMA,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,681 ALBANY HIGHWAY,BEDFORDALE,6112,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,681 ALBANY HIGHWAY,GAWA_147075716,2,BEDFORDALE,6112,14.9
68,PETROL STATION,6145,LEONORA ,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,22 TOWER STREET,LEONORA,6438,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,25/07/2011,22 TOWER STREET,GAWA_147044919,1,LEONORA,6438,38
69,PETROL STATION,,SHELL BOULDER,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,26 DAVIS STREET,BOULDER,6432,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,26 DAVIS STREET,GAWA_147255785,1,BOULDER,6432,0
70,PETROL STATION,,LIBERTY LANDSDALE,LIBERTY,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,2 COWLE STREET,LANDSDALE,6065,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,2 COWLE STREET,GAWA_160673766,1,LANDSDALE,6065,6.9
71,PETROL STATION,,COLES EXPRESS ESPERANCE,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,25 ANDREW STREET,ESPERANCE,6450,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,25 ANDREW STREET,GAWA_149140735,1,ESPERANCE,6450,0.7
72,PETROL STATION,,COLES EXPRESS UPPER SWAN ROADHOUSE,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1333 GREAT NORTHERN HIGHWAY,UPPER SWAN,6069,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,1333 GREAT NORTHERN HIGHWAY,GAWA_147066516,1,UPPER SWAN,6069,11.5
73,PETROL STATION,,CALTEX BIBRA LAKE,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,5 COCOS DRIVE,BIBRA LAKE,6163,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,5 COCOS DRIVE,GAWA_147060540,1,BIBRA LAKE,6163,28.7
