OBJECTID,FEATURE_TYPE,INDUSTRY_ID,STATION_NAME,STATION_OWNER,STATION_DESCRIPTION,STATION_ADDRESS,STATION_SUBURB,STATION_POSTCODE,STATION_STATE,OPERATIONAL_STATUS,SPATIAL_CONFIDENCE,GNAF_ASSIGNMENT_METHOD,STATION_REVISED_DATE,GNAF_FORMATTED_ADDRESS,GNAF_ADDRESS_DETAIL_PID,GNAF_CONFIDENCE,GNAF_SUBURB,GNAF_POSTCODE,DISTANCE_TO_GNAF
5326,PETROL STATION,,GILGAI GENERAL STORE,LIBERTY,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,9 MARSH STREET,GILGAI ,2360,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,9 MARSH STREET,GANSW704804313,2,URALLA,2360,0
5327,PETROL STATION,,ACCESS FUELS,INDEPENDENT,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,140-142 JUBILEE STREET,TOWNSEND ,2463,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,140-142 JUBILEE STREET,GANSW718531553,0,TOWNSEND,2463,0
5328,PETROL STATION,,METRO SHELLY BEACH,METRO FUEL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,50 SHELLY BEACH ROAD,SHELLY BEACH,2261,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,50 SHELLY BEACH ROAD,GANSW717735825,0,SHELLY BEACH,2261,0
5329,PETROL STATION,,TELARAH FUELS,INDEPENDENT,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,17 SOUTH STREET,TELARAH ,2320,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,17 SOUTH STREET,GANSW706059074,2,TELARAH,2320,2.3
5330,PETROL STATION,,SPEEDWAY ARNCLIFFE,SPEEDWAY,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,32 PRINCES HIGHWAY,ARNCLIFFE ,2205,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,32 PRINCES HIGHWAY,GANSW703935908,1,ARNCLIFFE,2205,5.8
5331,PETROL STATION,,COLES EXPRESS INVERELL,COLES EXPRESS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,176 OTHO STREET,INVERELL ,2360,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,176 OTHO STREET,GANSW717380368,1,INVERELL,2360,0
5332,PETROL STATION,,METRO PETROLEUM GRIFFITH,METRO FUEL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,33 GRIFFIN AVENUE,GRIFFITH ,2680,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,33 GRIFFIN AVENUE,GANSW704878676,2,GRIFFITH,2680,0
5333,PETROL STATION,,CALTEX ALBURY NORTH,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,79 UNION ROAD,NORTH ALBURY,2640,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,79 UNION ROAD,GANSW706665529,1,NORTH ALBURY,2640,0
5334,PETROL STATION,,BUDGET BLACKTOWN,BUDGET,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,143 KILDARE ROAD,BLACKTOWN ,2148,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,143 KILDARE ROAD,GANSW704145483,1,BLACKTOWN,2148,0
5335,PETROL STATION,,INDEPENDENT CORAKI,INDEPENDENT,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,102-104 QUEEN ELIZABETH DRIVE,CORAKI ,2471,NSW,OPERATIONAL,1,GNAF ADDRESS MATCH,,102-104 QUEEN ELIZABETH DRIVE,GANSW704488678,1,CORAKI,2471,0.1
